Ticker,CASH,FUTURE,OPTIONS
AARTIIND,1/1/2013,1/1/2021,1/1/2021
ABB,1/1/2013,1/1/2013,1/1/2013
ABBOTINDIA,1/1/2013,10/1/2021,10/1/2021
ACC,1/1/2013,1/1/2013,1/1/2013
ADANIENT,1/1/2013,1/1/2013,1/1/2013
ADANIPORTS,1/1/2013,1/1/2013,1/1/2013
AMBUJACEM,1/1/2013,1/1/2013,1/1/2013
APOLLOHOSP,1/1/2013,12/27/2013,12/27/2013
APOLLOTYRE,1/1/2013,1/1/2013,1/1/2013
ASHOKLEY,1/1/2013,1/1/2013,1/1/2013
ASIANPAINT,1/1/2013,1/1/2013,1/1/2013
ASTRAL,1/1/2013,7/30/2021,7/30/2021
ATUL,1/1/2013,10/29/2021,10/29/2021
AUROPHARMA,1/1/2013,1/1/2013,1/1/2013
AXISBANK,1/1/2013,1/1/2013,1/1/2013
BAJAJ-AUTO,1/1/2013,1/1/2013,1/1/2013
BAJAJFINSV,1/1/2013,4/28/2017,4/28/2017
BAJFINANCE,1/1/2013,5/29/2015,5/29/2015
BALKRISIND,1/1/2013,4/28/2017,4/28/2017
BALRAMCHIN,1/1/2013,4/28/2017,4/28/2017
BANKBARODA,1/1/2013,1/1/2013,1/1/2013
BATAINDIA,1/1/2013,1/1/2013,1/1/2013
BEL,1/1/2013,5/29/2015,5/29/2015
BERGEPAINT,1/1/2013,4/28/2017,4/28/2017
BHARATFORG,1/1/2013,1/1/2013,1/1/2013
BHARTIARTL,1/1/2013,1/1/2013,1/1/2013
BHEL,1/1/2013,1/1/2013,1/1/2013
BIOCON,1/1/2013,1/1/2013,1/1/2013
BOSCHLTD,1/1/2013,11/28/2014,11/28/2014
BPCL,1/1/2013,1/1/2013,1/1/2013
BRITANNIA,1/1/2013,5/29/2015,5/29/2015
CANBK,1/1/2013,1/1/2013,1/1/2013
CANFINHOME,1/1/2013,4/28/2017,4/28/2017
CHAMBLFERT,1/1/2013,1/1/2013,1/1/2013
CHOLAFIN,1/1/2013,4/28/2017,4/28/2017
CIPLA,1/1/2013,1/1/2013,1/1/2013
COALINDIA,1/1/2013,1/1/2013,1/1/2013
COLPAL,1/1/2013,1/1/2013,1/1/2013
CONCOR,1/1/2013,1/1/2016,1/1/2016
COROMANDEL,1/1/2013,6/25/2021,6/25/2021
CUB,1/1/2013,2/26/2021,2/26/2021
CUMMINSIND,1/1/2013,2/26/2016,2/26/2016
DABUR,1/1/2013,1/1/2013,1/1/2013
DEEPAKNTR,1/1/2013,2/26/2021,2/26/2021
DELTACORP,1/1/2013,10/1/2021,10/1/2021
DIVISLAB,1/1/2013,1/1/2013,1/1/2013
DLF,1/1/2013,1/1/2013,1/1/2013
DRREDDY,1/1/2013,1/1/2013,1/1/2013
EICHERMOT,1/1/2013,9/10/2014,9/10/2014
ESCORTS,1/1/2013,3/31/2017,3/31/2017
EXIDEIND,1/1/2013,1/1/2013,1/1/2013
FEDERALBNK,1/1/2013,1/1/2013,1/1/2013
GAIL,1/1/2013,1/1/2013,1/1/2013
GLENMARK,1/1/2013,10/3/2013,10/3/2013
GMRINFRA,1/1/2013,1/1/2013,1/1/2013
GNFC,1/1/2013,12/31/2021,12/31/2021
GODREJCP,1/1/2013,1/1/2016,1/1/2016
GODREJPROP,1/1/2013,3/27/2020,3/27/2020
GRANULES,1/1/2013,2/26/2016,2/26/2016
GRASIM,1/1/2013,1/1/2013,1/1/2013
HAVELLS,1/1/2013,1/1/2013,1/1/2013
HCLTECH,1/1/2013,1/1/2013,1/1/2013
HDFCBANK,1/1/2013,1/1/2013,1/1/2013
HEROMOTOCO,1/1/2013,1/1/2013,1/1/2013
HINDALCO,1/1/2013,1/1/2013,1/1/2013
HINDCOPPER,1/1/2013,12/31/2021,12/31/2021
HINDPETRO,1/1/2013,1/1/2013,1/1/2013
HINDUNILVR,1/1/2013,1/1/2013,1/1/2013
ICICIBANK,1/1/2013,1/1/2013,1/1/2013
IDEA,1/1/2013,1/1/2013,1/1/2013
IDFC,1/1/2013,1/1/2013,1/1/2013
IGL,1/1/2013,1/1/2013,1/1/2013
INDHOTEL,1/1/2013,1/1/2013,1/1/2013
INDIACEM,1/1/2013,1/1/2013,1/1/2013
INDUSINDBK,1/1/2013,1/1/2013,1/1/2013
INFY,1/1/2013,1/1/2013,1/1/2013
IOC,1/1/2013,1/1/2013,1/1/2013
IPCALAB,1/1/2013,8/27/2021,8/27/2021
ITC,1/1/2013,1/1/2013,1/1/2013
JINDALSTEL,1/1/2013,1/1/2013,1/1/2013
JKCEMENT,1/1/2013,10/1/2021,10/1/2021
JSWSTEEL,1/1/2013,1/1/2013,1/1/2013
JUBLFOOD,1/1/2013,1/1/2013,1/1/2013
KOTAKBANK,1/1/2013,1/1/2013,1/1/2013
L&TFH,1/1/2013,3/13/2014,3/13/2014
LICHSGFIN,1/1/2013,1/1/2013,1/1/2013
LT,1/1/2013,1/1/2013,1/1/2013
LUPIN,1/1/2013,1/1/2013,1/1/2013
M&M,1/1/2013,1/1/2013,1/1/2013
M&MFIN,1/1/2013,12/27/2013,12/27/2013
MANAPPURAM,1/1/2013,6/30/2017,6/30/2017
MARICO,1/1/2013,9/28/2015,9/28/2015
MARUTI,1/1/2013,1/1/2013,1/1/2013
MCX,1/1/2013,4/28/2017,4/28/2017
MPHASIS,1/1/2013,2/26/2021,2/26/2021
MRF,1/1/2013,1/1/2013,1/1/2013
MUTHOOTFIN,1/1/2013,3/31/2017,3/31/2017
NATIONALUM,1/1/2013,5/26/2017,5/26/2017
NAUKRI,1/1/2013,2/28/2020,2/28/2020
NAVINFLUOR,1/1/2013,2/26/2021,2/26/2021
NESTLEIND,1/1/2013,4/28/2017,4/28/2017
NMDC,1/1/2013,1/1/2013,1/1/2013
NTPC,1/1/2013,1/1/2013,1/1/2013
OBEROIRLTY,1/1/2013,10/1/2021,10/1/2021
OFSS,1/1/2013,1/1/2013,1/1/2013
ONGC,1/1/2013,1/1/2013,1/1/2013
PAGEIND,1/1/2013,5/29/2015,5/29/2015
PEL,1/1/2013,3/31/2017,3/31/2017
PERSISTENT,1/1/2013,10/1/2021,10/1/2021
PETRONET,1/1/2013,1/1/2013,1/1/2013
PFC,1/1/2013,1/1/2013,1/1/2013
PIDILITIND,1/1/2013,5/29/2015,5/29/2015
PIIND,1/1/2013,2/26/2021,2/26/2021
PNB,1/1/2013,1/1/2013,1/1/2013
POWERGRID,1/1/2013,1/1/2013,1/1/2013
RECLTD,1/1/2013,1/1/2013,1/1/2013
