SYMBOL,EXPIRY_01,EXPIRY_02,EXPIRY_03,EXPIRY_04,EXPIRY_05,EXPIRY_06,EXPIRY_07,EXPIRY_08,EXPIRY_09,TIMESTAMP,EXPIRY_10,EXPIRY_11,EXPIRY_12,EXPIRY_13,EXPIRY_14,EXPIRY_15,EXPIRY_16,EXPIRY_17,EXPIRY_18,EXPIRY_19,EXPIRY_20,EXPIRY_21
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-02,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-01-02,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-03,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-03,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-04,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-04,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-01-05,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-05,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-06,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-01-06,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-09,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-09,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-01-10,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,,,,2017-01-10,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-01-11,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-01-11,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-01-12,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-01-12,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-13,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-13,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-01-16,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-16,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-01-17,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-17,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-01-18,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-01-18,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-01-19,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-01-19,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-01-20,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-01-20,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-23,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-01-23,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-24,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-24,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,,,,,2017-01-25,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-25,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-27,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,2017-01-27,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-01-30,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-01-30,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-01-31,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-01-31,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-02-01,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-02-01,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,40.0,40.0,,,,2017-02-02,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,2017-02-02,,,,,,,,,,,,
BANKNIFTY,40.0,40.0,40.0,40.0,,,,,,2017-02-03,,,,,,,,,,,,
NIFTY,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,2017-02-03,,,,,,,,,,,,
