SYMBOL,EXPIRY_01,EXPIRY_02,EXPIRY_03,EXPIRY_04,EXPIRY_05,EXPIRY_06,EXPIRY_07,EXPIRY_08,EXPIRY_09,EXPIRY_10,EXPIRY_11,EXPIRY_12,EXPIRY_13,EXPIRY_14,TIMESTAMP,EXPIRY_15,EXPIRY_16,EXPIRY_17,EXPIRY_18,EXPIRY_19,EXPIRY_20,EXPIRY_21
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/2/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/2/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/3/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/3/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/4/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/4/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/5/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/5/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/6/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/6/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/9/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/9/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/10/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/10/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/11/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/11/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/12/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/12/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/13/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/13/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/16/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/16/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/17/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/17/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/18/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/18/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/19/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/19/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/20/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/20/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/23/2017,,,,,,,
NIFTY,50,50,50,100,100,100,100,100,100,100,100,100,100,100,1/23/2017,,,,,,,
BANKNIFTY,100,100,100,100,100,100,100,100,100,100,,,,,1/24/2017,,,,,,,
