Instrument,Portfolios,Strategy IDs,Signal,Signal Number,Entry Datetime,Entry ID,Exit ID,Exit Datetime,Exit Type,Intraday/ Positional,Entry Price,Exit Price,Net points,only_date,exit_expiry,Symbol,Expiry date,StrikeDiff,LotSize,DTE_CNT,Trade Id,RollOver Id,Current Expiry / next expiry,tradingSymbol,Tracking Price,Tracking Price Time,Tracking Price Revised Time,Appreciation / depreciation,Appreciation %,Revised Appreciated Price,Revised Appreciated Time,A/D price Level,TARGET Profit %,SL %,Exit Time,Exit Price,Entry Price,Delayed exit price,Exit Type,RE_Appreciation / Depreciation,RE_Appreciation / Depreciation %,RE_Appreciation / Depreciation Price,RE A/D price Level,RE_Appreciation / Depreciation Time,RE_Entry Price,RE_Appreciation / Depreciation Exit Price,RE_Appreciation / Depreciation Exit Type,RE_Appreciation / Depreciation Exit Time,max_price - Between Signal start to signal end time,min_price - Between Signal start to signal end time,max_price - Between P_Price and appreciation/ depreciation price,Min_price - Between P_Price and appreciation/ depreciation price,After entry of appreciation/depreciation price till exit - max_price,After entry of appreciation/depreciation price till exit - min_price,After entry of RE_appreciation/depreciation price till exit - max_price,After entry of RE_appreciation/depreciation price till exit - min_price,Capital,Qty,Revised Qty,Qty_Reappreciation,Revised Qty_Reappreciation,ROI_Original,ROI_Reappreciation,Probability_Original,Probability_Reappreciation,Volume at entry,Volume at exit,Volume for x mins
BANKNIFTY,F13 - F13_1,1_1,L,7,2019-01-09 14:17:00,1,1,2019-01-09 14:17:00,,P,,,0.0,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:17:00,1,1,2019-01-09 15:17:00,,P,,,0.0,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:20:00,2,1,2019-01-09 15:25:00,,P,,,-1.3499999999985448,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:20:00,2,2,2019-01-09 15:26:00,,P,,,7.75,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:20:00,2,3,2019-01-10 09:18:00,,P,,,93.59999999999854,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:20:00,2,4,2019-01-10 09:19:00,,P,,,91.20000000000073,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:20:00,2,5,2019-01-10 09:42:00,,P,,,144.45000000000073,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:20:00,2,6,2019-01-10 09:43:00,,P,,,130.15000000000146,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:20:00,2,7,2019-01-10 09:54:00,,P,,,125.70000000000073,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
BANKNIFTY,F13 - F13_1,1_1,S,8,2019-01-09 15:20:00,2,8,2019-01-10 09:55:00,,P,,,127.29999999999927,2019-01-09,2019-01-10,BANKNIFTY,2019-01-10,20,100,1,,,,,,,,APPRECIATION,0.01,,,,0.01,,,,,,,APPRECIATION,0.0,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,5
